Date,Open,High,Low,Close,Volume
1/4/2021,13.08086535,13.62822642,12.93925028,13.0899731,561115573.3
1/5/2021,13.07620249,13.41955831,13.06336474,13.38077867,323033000.3
1/6/2021,13.19883482,13.22114673,12.56344148,12.59174752,580914431.3
1/7/2021,12.94424488,13.35380423,12.86332226,13.32031954,461871436.3
1/8/2021,13.33863549,13.39691287,13.01877406,13.25293367,292775874.7
1/11/2021,13.39476519,13.9361321,13.33863557,13.59728875,519239636
1/12/2021,13.72813116,13.73012952,13.32098628,13.46066965,291723734.3
1/13/2021,13.46581333,13.60061811,13.36094686,13.50755687,210205971.3
1/14/2021,13.55066615,13.57549249,13.15687542,13.17670648,283359705.7
1/15/2021,13.20449728,13.30152129,12.82535903,12.83634844,278015856.7
1/19/2021,12.99298227,13.07069159,12.82102978,13.00197395,226378611.7
1/20/2021,13.08819143,13.40657121,13.03327738,13.34181633,258789999.7
1/21/2021,13.39461464,13.97421145,13.22947243,13.84295361,338439296
1/22/2021,13.71550838,13.81716156,13.60279913,13.68816787,247027853.3
1/25/2021,13.75728667,13.80402549,13.21282282,13.62907576,251323884.7
1/26/2021,13.55629429,13.62044974,13.36361156,13.41108289,164118995
1/27/2021,13.20649519,13.20897604,12.77062758,12.89447629,371586660.7
1/28/2021,12.97303392,13.31584002,12.93725119,13.02743159,228509125.3
1/29/2021,13.05170987,13.31084586,12.88829903,12.96637446,271781757.7
2/1/2021,13.02998045,13.24697314,12.8794904,13.21315543,217387965
2/2/2021,13.3747847,13.54766939,13.26174236,13.53253417,220625342.3
2/3/2021,13.61160825,13.90701001,13.49238903,13.50637567,245616475
2/4/2021,13.50670902,13.64920657,13.31387656,13.64006549,201509313.3
2/5/2021,13.70048981,13.71266146,13.52154369,13.56665056,169296198
2/8/2021,13.70263845,14.44782724,13.70263845,14.41289397,434990896.7
2/9/2021,14.31495352,14.55705591,14.19704955,14.23746089,287803353.3
2/10/2021,14.43716982,14.87813213,14.3154692,14.73744959,485762844.3
2/11/2021,14.95321193,15.24473368,14.89808117,15.22345397,451209170.3
2/12/2021,15.0228619,15.26328207,14.74825703,14.93422982,375074036
2/16/2021,15.03703092,15.34438738,14.92305638,15.30231076,322232055
2/17/2021,15.14371191,15.19596213,14.75325118,14.87913126,275617693
2/18/2021,14.70229964,14.84631217,14.54887961,14.80220449,234207899.7
2/19/2021,14.99725175,15.1497065,14.82000456,14.89941193,271953960.3
2/22/2021,14.74810612,15.10593137,14.29918465,14.33000545,326160737
2/23/2021,14.05037268,14.21321716,13.36560937,14.11679259,391781756
2/24/2021,14.09766095,14.48079503,13.73146014,14.47295224,448698694.3
2/25/2021,14.02018469,14.34898777,13.19269163,13.28372118,825133484.3
2/26/2021,13.7281307,13.83000026,13.33697052,13.69016718,501354712.3
3/1/2021,13.85028091,13.90016667,13.52917089,13.81716264,353482128.3
3/2/2021,13.87522291,13.89583677,13.37226987,13.38211014,264338187
3/3/2021,13.40242497,13.42755074,12.77562264,12.78161709,377910290
3/4/2021,12.77762094,12.95190512,12.06233737,12.34786441,573829833
3/5/2021,12.5275098,12.5275098,11.6582226,12.43892745,543298453.7
3/8/2021,12.42760488,12.44876789,11.54557993,11.57240464,543571223
3/9/2021,12.1112845,12.59704339,12.04044397,12.50049112,522206335.7
3/10/2021,12.82017289,12.95968921,12.43802737,12.44853497,384657233.7
3/11/2021,12.92974765,13.02578384,12.71432829,12.97334452,300133998
3/12/2021,12.6283173,12.86864924,12.57021628,12.83582664,244142236.7
3/15/2021,12.84466891,13.18621564,12.74705067,13.17056194,222505554.3
3/16/2021,13.33550661,13.49127592,13.09629089,13.27044481,272327912
3/17/2021,13.01945579,13.43227588,12.96934788,13.3203699,244042323.7
3/18/2021,13.11575775,13.1633845,12.69704253,12.7023712,294305680.3
3/19/2021,12.72998215,12.9014385,12.59253077,12.82568519,299425932.3
3/22/2021,12.89262936,13.37347551,12.88663422,13.16556667,298020990
3/23/2021,13.23347615,13.32351719,13.0008048,13.05039681,222208968
