Date,Close,High,Low,Open,Volume
1/4/2021,13.07601929,13.61347925,12.92545084,13.06679604,560640000
1/5/2021,13.366436,13.40507494,13.04959423,13.06230746,322760000
1/6/2021,12.57844639,13.20714419,12.55002824,13.18470846,580424000
1/7/2021,13.30585861,13.33951268,12.84966678,12.93043464,461480000
1/8/2021,13.23880196,13.38263958,13.00472312,13.32430744,292528000
1/11/2021,13.58256626,13.92109631,13.32430672,13.38039557,518344000
1/12/2021,13.446208,13.7151876,13.3068579,13.71319251,291476000
1/13/2021,13.49307251,13.58605625,13.34674246,13.45144189,210028000
1/14/2021,13.16252041,13.56087844,13.14282722,13.53619943,283120000
1/15/2021,12.82274437,13.28716288,12.81177613,13.19019086,277780000
1/19/2021,12.98801899,13.0565719,12.8072865,12.97904394,226188000
1/20/2021,13.32754707,13.39211172,13.01943027,13.07427242,258572000
1/21/2021,13.82786083,13.95923434,13.2151173,13.38014392,337780000
1/22/2021,13.67330551,13.8021866,13.58829928,13.70072706,246820000
1/25/2021,13.61422634,13.7889755,13.19866753,13.74235905,251112000
1/26/2021,13.39684772,13.60574826,13.34923374,13.54168192,163980000
1/27/2021,12.8808279,13.19492713,12.75718178,13.19218459,371272000
1/28/2021,13.01369572,13.30162102,12.92345452,12.95910272,228316000
1/29/2021,12.95262337,13.29663757,12.87459709,13.03762961,271552000
2/1/2021,13.19916439,13.2328175,12.86586935,13.01593946,217204000
2/2/2021,13.51800156,13.53320722,13.24752614,13.36045317,220440000
2/3/2021,13.49182606,13.89192905,13.47786613,13.59702378,245408000
2/4/2021,13.62519264,13.63441589,13.29962597,13.49232329,201340000
2/5/2021,13.55215359,13.6979863,13.50703298,13.68577136,169152000
2/8/2021,14.39747906,14.43237886,13.68801262,13.68801262,434624000
2/9/2021,14.22248173,14.54156677,14.1818477,14.2997596,287560000
2/10/2021,14.72205067,14.86239831,14.30050945,14.42191134,485352000
2/11/2021,15.20715904,15.22859818,14.88234072,14.93743297,450828000
2/12/2021,14.91848755,15.24754426,14.73276921,15.00698377,374756000
2/16/2021,15.28643227,15.32856214,14.90726913,15.02119276,321960000
2/17/2021,14.86339664,15.1799893,14.73775637,15.12763863,274756000
2/18/2021,14.78661442,14.83073747,14.53333977,14.68689987,233868000
2/19/2021,14.88383293,15.1336166,14.80431084,14.98155237,271724000
2/22/2021,14.31471825,15.08999614,14.28405586,14.73252033,325884000
2/23/2021,14.10157871,14.19805243,13.35122902,14.03501898,391780000
2/24/2021,14.45755672,14.46528508,13.71668043,14.08238285,448320000
2/25/2021,13.26946259,14.33366228,13.17847394,14.00535305,824436000
2/26/2021,13.67529964,13.81489887,13.3228097,13.71319018,500932000
3/1/2021,13.80218792,13.88520002,13.51451267,13.83534274,353184000
3/2/2021,13.36793327,13.88071329,13.35771248,13.86027169,264116000
3/3/2021,12.76815128,13.41305221,12.76216792,13.3878749,377592000
3/4/2021,12.33489323,12.93791537,12.04921212,12.76416281,573344000
3/5/2021,12.42587948,12.51412653,11.6458651,12.51412653,542840000
3/8/2021,11.560112,12.43560162,11.5334379,12.41441259,543112000
3/9/2021,12.48877525,12.5850321,12.02893373,12.09975534,521824000
3/10/2021,12.43690395,12.94736664,12.42618116,12.80821769,384376000
3/11/2021,12.96083164,13.0134496,12.70248299,12.91744106,299916000
3/12/2021,12.82367897,12.85634676,12.55834792,12.61645095,243964000
3/15/2021,13.15808582,13.17354692,12.73515201,12.83240674,221988000
3/16/2021,13.25783634,13.47852971,13.08377457,13.32292175,272128000
3/17/2021,13.30770779,13.41942571,12.95684179,13.0069655,243864000
3/18/2021,12.69051552,13.15085548,12.6850295,13.10347523,293896000
3/19/2021,12.81345272,12.88901262,12.5807895,12.7179436,299208000
3/22/2021,13.15310001,13.36082653,12.87430266,12.88028809,297804000
3/23/2021,13.03789139,13.31095255,12.98851536,13.22092942,222048000
3/24/2021,12.61121178,13.1261644,12.60497806,13.11818414,245840000
3/25/2021,12.5037365,12.68278582,12.2411489,12.46807693,295144000
3/26/2021,12.8069706,12.82392805,12.34239179,12.5229365,363968000
3/29/2021,12.9156971,13.02966005,12.66807121,12.78801864,273520000
3/30/2021,12.8393898,12.94262996,12.67305906,12.80971472,200204000
3/31/2021,13.3146925,13.43663476,12.94986169,12.98277872,314776000
4/1/2021,13.77702808,13.83513112,13.47728266,13.53813013,308276000
4/5/2021,13.95233727,13.9787704,13.69847666,13.83263905,255672000
4/6/2021,13.82665062,14.018916,13.73887251,13.9645534,191744000
4/7/2021,14.10794258,14.2076906,13.6770285,13.84585253,251284000
4/8/2021,14.28100777,14.43511936,14.21317793,14.2169193,244416000
4/9/2021,14.36379719,14.37177745,14.13936342,14.17826493,195172000
4/12/2021,15.17076111,15.31390065,14.10370085,14.25382275,869324000
4/13/2021,15.64008045,15.6605291,15.08772257,15.1932068,676212000
4/14/2021,15.23859406,15.68097866,15.18921803,15.58571876,385500000
4/15/2021,16.09667969,16.17348576,15.59220056,15.62312276,598480000
4/16/2021,15.8724947,16.12510812,15.82536274,16.01264058,335208000
4/19/2021,15.3231287,15.76775828,15.19470254,15.49743969,404420000
4/20/2021,15.13310719,15.45803759,14.92538072,15.28472451,334132000
4/21/2021,15.32188225,15.32387708,15.06428128,15.08073932,216776000
4/22/2021,14.81291389,15.39968508,14.74633119,15.33634433,277788000
4/23/2021,15.22686958,15.29644405,14.86278751,14.89670147,227500000
4/26/2021,15.43908596,15.44008385,15.08697376,15.14682333,197796000
4/27/2021,15.34308338,15.63110722,15.31590159,15.53933848,164572000
4/28/2021,15.23834324,15.49320169,15.17724749,15.32587307,209416000
4/29/2021,15.28622341,15.39769212,15.03360996,15.36128391,173196000
4/30/2021,14.97176647,15.32637298,14.95929809,15.13635258,201912000
5/3/2021,14.79944897,15.20841803,14.75032314,15.08697425,203912000
5/4/2021,14.31516838,14.60069882,13.9750261,14.60044958,405324000
5/5/2021,14.42215157,14.7762596,14.35132996,14.67202154,292024000
5/6/2021,14.48648834,14.53461724,14.18225577,14.45880809,193380000
5/7/2021,14.77501011,14.93311134,14.63486328,14.77102045,229328000
5/10/2021,14.2298851,14.76877671,14.21417477,14.75007366,268904000
5/11/2021,14.2702837,14.31866183,13.71543249,13.79024375,285584000
5/12/2021,13.72391129,14.22439988,13.67478545,13.97427972,303408000
5/13/2021,13.63089275,14.04534875,13.42516112,13.99846603,285404000
5/14/2021,14.20719051,14.29197685,13.71393362,13.85507833,258616000
5/17/2021,14.12988472,14.13362514,13.81866983,14.12140599,216980000
5/18/2021,13.98051357,14.36803708,13.96879289,14.23113218,186256000
5/19/2021,14.03038788,14.04410339,13.50920144,13.53239262,344000000
5/20/2021,14.57576275,14.64683358,14.23462257,14.2665417,321592000
5/21/2021,14.9540596,15.1837311,14.83211734,15.12562711,672992000
5/24/2021,15.57275105,15.7054161,15.13784635,15.17425457,554816000
5/25/2021,15.60841084,15.77873123,15.44357646,15.72636344,435408000
5/26/2021,15.66052818,15.75404248,15.54706466,15.69469233,370440000
5/27/2021,15.44906139,15.71040278,15.42113191,15.66027906,581476000
5/28/2021,16.20365715,16.23657513,15.46202766,15.46202766,644536000
6/1/2021,16.22360992,16.3470495,15.8632682,16.22909689,472804000
6/2/2021,16.73607063,16.87621845,16.19468565,16.21139388,594168000
6/3/2021,16.92708397,17.21560806,16.54130707,16.65876119,580008000
6/4/2021,17.53405571,17.61659608,17.0525195,17.06947505,617120000
6/7/2021,17.5746994,17.7677134,17.14952258,17.52707089,575756000
6/8/2021,17.41311073,17.57719644,17.20762738,17.48318367,323848000
6/9/2021,17.31858253,17.53483831,17.21631776,17.47572383,381656000
6/10/2021,17.3851757,17.45202392,17.13674613,17.31034825,287772000
6/11/2021,17.78451157,17.89825134,17.40388323,17.43955096,416308000
6/14/2021,17.97756577,17.99826839,17.62238044,17.86507436,321376000
6/15/2021,17.74784279,17.97507302,17.68748187,17.87405474,243032000
6/16/2021,17.76954651,17.91371701,17.54431246,17.75009225,307124000
6/17/2021,18.61461067,18.79195408,17.71567072,17.73387853,809656000
6/18/2021,18.59614944,19.3307166,18.54152414,18.74106778,968856000
6/21/2021,18.38513565,18.49413699,17.78201738,18.39311679,672384000
6/22/2021,18.84358597,18.92041156,18.34398078,18.4292861,580144000
6/23/2021,19.01369667,19.10897936,18.86453844,18.96431028,332356000
6/24/2021,19.16160393,19.3756141,19.04462147,19.1838042,320924000
6/25/2021,18.98750496,19.30128698,18.85131752,19.236435,278364000
6/28/2021,19.93932343,20.03285915,19.27484525,19.31699837,495436000
6/29/2021,19.98097801,20.05281205,19.61207213,19.83705684,367632000
6/30/2021,19.95678902,20.11642322,19.81835602,19.95354632,326568000
7/1/2021,20.16580582,20.40924764,19.97324612,20.07900476,480136000
7/2/2021,20.44017601,20.45838572,20.24138213,20.39353374,342764000
7/6/2021,20.65119171,20.79436311,20.30373823,20.69010213,446708000
7/7/2021,20.32518959,20.82728952,20.28553129,20.80583902,418428000
7/8/2021,19.85726547,20.08698868,19.65572745,19.81112178,503300000
7/9/2021,20.00442123,20.03435335,19.70909826,19.91687232,296624000
7/12/2021,20.46562195,20.48582409,20.14161323,20.19374372,321984000
7/13/2021,20.203722,20.41448953,20.06803313,20.3538774,290708000
7/14/2021,19.79615021,20.37108322,19.70760412,20.31122089,380100000
7/15/2021,18.92289925,19.80163681,18.81539559,19.76646767,550564000
7/16/2021,18.11948967,19.11321345,18.03169146,18.98700341,688224000
7/19/2021,18.73682594,18.99847551,17.82466432,17.87430189,749060000
7/20/2021,18.56946564,18.79494899,18.12248949,18.687196,434687000
7/21/2021,19.36563683,19.48236999,18.69916432,18.83884373,371017000
7/22/2021,19.54921341,19.84154296,19.23193948,19.59710403,323826000
7/23/2021,19.51329994,19.65497559,19.20600333,19.61107553,195672000
7/26/2021,19.24990463,19.39756519,18.87077205,19.26686598,203943000
7/27/2021,19.16409874,19.57715207,18.69816515,19.22096767,248863000
7/28/2021,19.45842171,19.6010945,18.95158344,19.27484227,202191000
7/29/2021,19.61706352,19.80762698,19.28382534,19.47438879,190781000
7/30/2021,19.45443726,19.58513648,19.21897655,19.3736211,183497000
8/2/2021,19.70486259,19.91538081,19.31675169,19.65497763,217444000
8/3/2021,19.76970863,20.17577793,19.17606743,19.6948793,301811000
8/4/2021,20.22766685,20.27156692,19.78268507,19.9443155,231309000
8/5/2021,20.58983421,20.68561548,20.29550835,20.45314819,211435000
8/6/2021,20.31945229,20.52298651,20.16380869,20.47709212,178497000
8/9/2021,20.24861526,20.46112779,20.09696224,20.39926922,146443000
8/10/2021,19.89044189,20.38331246,19.78967097,20.27555946,179238000
8/11/2021,19.65397835,20.00317882,19.38559403,19.99719202,185925000
8/12/2021,19.85950851,19.98322376,19.57516002,19.82458866,151652000
8/13/2021,20.14185905,20.1678006,19.80562939,19.85950682,183063000
8/16/2021,19.90440369,20.24063334,19.40853797,20.08898032,210876000
8/17/2021,19.41352463,19.72481176,19.22296122,19.64000505,204585000
8/18/2021,18.99648285,19.58912506,18.95657336,19.45543055,285913000
8/19/2021,19.75275803,20.44816575,18.71912429,19.44945187,766555000
8/20/2021,20.76842308,20.81731087,19.88744184,19.94530793,675741000
8/23/2021,21.90781784,21.94672827,20.90212208,20.923074,575807000
8/24/2021,21.74319077,21.90881173,21.48578101,21.70328318,297299000
8/25/2021,22.16222763,22.41864018,21.67235067,21.68731578,347701000
8/26/2021,22.01756477,22.28894248,21.74020026,22.14926306,237940000
8/27/2021,22.58426666,22.67007056,22.11633867,22.13330001,304722000
8/30/2021,22.63614464,22.9903328,22.49945863,22.77782028,262580000
8/31/2021,22.33778,22.64712553,22.07333961,22.64712553,259850000
9/1/2021,22.39365959,22.64912006,22.30983716,22.4375674,201767000
9/2/2021,22.34875298,22.54533788,22.24796621,22.47049534,187834000
9/3/2021,22.79481316,22.93751115,22.15316991,22.27790623,280532000
9/7/2021,22.61419296,22.8506925,22.47448701,22.78483175,198107000
9/8/2021,22.29187584,22.56230406,21.93063807,22.46550857,254434000
9/9/2021,22.13021088,22.4904493,22.0843084,22.26492628,196856000
9/10/2021,22.43058205,22.57826864,22.22302065,22.30085522,248376000
9/13/2021,22.10527039,22.91555773,21.81188996,22.63614771,297500000
9/14/2021,22.1950798,22.36272467,22.03940876,22.22800923,199755000
9/15/2021,22.29386711,22.31981323,21.91965824,22.26193503,166538000
9/16/2021,22.1950798,22.23000582,21.88074378,22.13620425,156033000
9/17/2021,21.85380363,22.2739151,21.7839516,22.25295949,294503000
9/20/2021,21.06846237,21.38778702,20.61841356,21.1013918,349440000
9/21/2021,21.20118141,21.37980276,20.9058063,21.37182021,204688000
9/22/2021,21.89471436,21.91367338,21.15128513,21.32092659,268726000
9/23/2021,22.43457031,22.487458,21.84381829,22.09329087,248555000
9/24/2021,22.03442001,22.10227736,21.81488478,22.02344354,217655000
9/27/2021,21.6143074,21.75301412,21.28001501,21.66420117,245215000
9/28/2021,20.65532875,21.37381092,20.60742969,21.1692435,343069000
9/29/2021,20.47371864,20.97266387,20.42382298,20.89582664,218394000
9/30/2021,20.67230034,21.02156241,20.64435953,20.72419069,221009000
10/1/2021,20.698246,20.81499787,20.16038154,20.70622855,240978000
10/4/2021,19.69037247,20.49866311,19.51374583,20.46074317,345635000
10/5/2021,20.40785789,20.60444282,19.81211717,19.90791533,279282000
10/6/2021,20.65633011,20.67628647,20.03763728,20.07755381,297202000
10/7/2021,21.03054237,21.27702106,20.92775902,21.04750481,256919000
10/8/2021,20.78705215,21.16126102,20.73117054,21.05648299,151258000
10/11/2021,20.65134239,21.01856611,20.46773054,20.5315966,163388000
10/12/2021,20.62739372,21.01257913,20.48469573,20.78406212,162134000
10/13/2021,20.89482689,20.94571989,20.66930382,20.87387128,180652000
10/14/2021,21.70012665,21.70910654,21.07744244,21.24309263,243589000
10/15/2021,21.81587982,21.8847345,21.61630288,21.76398947,226994000
10/18/2021,22.1751194,22.24397408,21.59833776,21.70311769,189494000
10/19/2021,22.24297905,22.3317901,21.99051251,22.22900674,161473000
10/20/2021,22.0563736,22.38567737,21.93562856,22.25794714,146276000
10/21/2021,22.64412498,22.6630859,22.03641057,22.05038097,187590000
10/22/2021,22.67805672,23.08120376,22.51340579,22.77485221,249384000
10/25/2021,23.11713028,23.30573075,22.72196576,22.92453663,230235000
10/26/2021,24.66485596,25.20571427,23.8735296,23.93839301,485898000
10/27/2021,24.39942169,25.03707368,24.23077757,24.42237389,245990000
10/28/2021,24.88838387,24.89736566,24.47126642,24.82551705,234204000
10/29/2021,25.51306343,25.65476407,24.94726013,24.94825748,292503000
11/1/2021,25.77251434,25.83937243,25.17377974,25.59489036,265740000
11/2/2021,26.34530067,26.62171671,25.74556878,25.76752363,294112000
11/3/2021,26.54189491,26.72750339,26.17966164,26.61374354,239910000
11/4/2021,29.73813629,31.29883626,27.06079543,27.17156134,1153631000
11/5/2021,29.6892395,31.33376189,29.34795999,30.12332134,851260000
11/8/2021,30.73901749,31.03439258,29.84390851,30.08539857,503101000
11/9/2021,30.59233093,32.24184583,29.90079388,32.21390502,646746000
11/10/2021,29.3968544,30.78492076,28.71729125,29.29407295,636206000
11/11/2021,30.32589149,30.52547035,29.71418566,30.40372797,332172000
11/12/2021,30.32589149,30.61528065,29.56749449,29.94669394,413054000
11/15/2021,29.96166039,30.57935406,29.18530174,30.48754908,384909000
11/16/2021,30.13928223,30.325888,29.64333097,29.69622056,264484000
11/17/2021,29.19927216,30.44464053,28.73924422,30.353831,428508000
11/18/2021,31.60817719,32.69088734,31.2549239,32.29871867,781711000
11/19/2021,32.91540909,33.01819242,31.83768774,32.17497398,533867000
11/22/2021,31.88858604,34.57390918,31.83270442,33.44629193,754335000
11/23/2021,31.67903328,32.29173839,30.81485895,31.46847793,532163000
11/24/2021,32.60507584,32.78569378,30.86275863,31.39463525,435162000
11/26/2021,31.43654442,32.64099707,31.28386729,32.53122851,283069000
11/29/2021,33.30559921,33.34152258,31.96842553,32.29773129,454964000
11/30/2021,32.60707092,33.28264479,31.79678541,33.099031,622066000
12/1/2021,31.37252998,33.2228476,31.31763898,33.15298701,484368000
12/2/2021,32.06215286,32.41345449,30.96334114,31.1519666,472890000
12/3/2021,30.6320076,32.0651548,30.07012476,31.93640953,544325000
12/6/2021,29.97730255,30.18089567,27.98227499,29.82061309,658938000
12/7/2021,32.36254883,32.38450827,30.59007959,30.89547307,593053000
12/8/2021,31.76274872,32.22582726,31.35855294,31.93540523,475551000
12/9/2021,30.42940712,32.14100096,30.36753006,31.67093441,488507000
12/10/2021,30.13798714,31.24278753,29.80165697,31.08809488,488825000
12/13/2021,28.10503387,30.23379621,28.06012323,30.18888556,598344000
12/14/2021,28.28068161,28.62100349,27.19584207,27.64394911,667035000
12/15/2021,30.39846992,30.43938881,27.78267822,28.34356166,698297000
12/16/2021,28.33058739,31.09807749,28.03717291,31.09009397,707366000
12/17/2021,27.74574852,28.86452092,27.70482964,27.92938285,713758000
12/20/2021,27.66391373,28.08806836,27.09105503,27.25073691,461847000
12/21/2021,29.01721764,29.06212828,27.34654282,28.31761058,524385000
12/22/2021,29.34157181,29.49626446,28.39246156,28.83358449,395184000
12/23/2021,29.58109283,29.99926074,29.37250857,29.69586405,343022000
12/27/2021,30.88349724,31.02521521,29.58109059,29.6010513,403686000
12/28/2021,30.26173973,31.26773589,29.95235444,31.24977201,420591000
12/29/2021,29.94137383,30.48728757,29.30763563,30.2128345,343139000
12/30/2021,29.52720261,30.39647191,29.4812945,29.76772288,308864000
12/31/2021,29.3525486,29.9703198,29.27270767,29.61502641,266530000
1/3/2022,30.06114197,30.64996964,29.72580925,29.75575031,391547000
1/4/2022,29.23178864,30.40744692,28.29265884,30.21682654,527154000
1/5/2022,27.54913902,29.35753807,27.47828098,28.89146524,498064000
1/6/2022,28.12199783,28.38148133,27.01121087,27.58506696,454186000
1/7/2022,27.19285011,28.36551611,27.00322718,28.08507442,409939000
1/10/2022,27.34554482,27.41440793,25.59303417,26.52817225,594681000
1/11/2022,27.76171684,28.00922507,26.78566175,27.26869912,404089000
1/12/2022,27.94335365,28.53816789,27.55313,28.01121739,383413000
1/13/2022,26.52218628,28.42339911,26.44533774,28.3226,540171000
1/14/2022,26.88845634,27.14295064,26.15791073,26.24773202,395832000
1/18/2022,25.85152054,26.58506042,25.71878544,26.20781139,424270000
1/19/2022,25.0171814,26.49024783,25.00221182,26.02717119,488315000
1/20/2022,24.10200691,25.52816795,24.03014949,25.25371483,435181000
1/21/2022,23.32754898,24.77366876,23.21676951,23.46028409,718958000
1/24/2022,23.32555008,23.3335336,20.84648754,22.28562114,913982000
1/25/2022,22.27963448,22.89740571,21.95627896,22.50119341,664616000
1/26/2022,22.7267437,24.00918982,22.2556816,23.19381404,755959000
1/27/2022,21.90039253,23.94731732,21.63192609,23.52116582,573353000
1/28/2022,22.79460907,22.81257295,21.25367691,21.96825358,543774000
1/31/2022,24.43734169,24.4602967,23.00619131,23.13593213,564680000
2/1/2022,24.58903503,25.09502739,23.84252051,25.05410851,518925000
2/2/2022,25.1918335,25.76568957,24.50420176,25.74273647,543419000
2/3/2022,23.90040588,25.02716183,23.7327405,24.40939254,410178000
2/4/2022,24.27066994,24.58604192,23.58503497,23.92435942,354829000
2/7/2022,24.67886162,25.13195801,24.1539059,24.32356816,376868000
2/8/2022,25.05810165,25.17985894,23.93234312,24.31058962,410359000
2/9/2022,26.65192986,26.67189057,25.30261736,25.57108189,524282000
2/10/2022,25.77268219,26.87149413,25.5491283,25.94334381,513200000
2/11/2022,23.90140343,26.10002623,23.72575452,25.86449519,605472000
2/14/2022,24.21877098,24.82556242,23.70778751,23.88643262,440424000
2/15/2022,26.44234276,26.49224262,24.73474288,24.89941396,699869000
2/16/2022,26.4583168,26.52917676,25.5012229,26.20681868,732676000
2/17/2022,24.45829582,25.73375586,24.11697644,25.57906321,810595000
2/18/2022,23.59501266,24.93634138,23.05409005,24.6189726,761255000
2/22/2022,23.34351349,24.01617375,22.95428919,22.98921948,633422000
2/23/2022,22.34251022,24.10699829,22.25668259,23.75469916,566511000
2/24/2022,23.70080376,23.75270046,20.84848378,20.97323536,735801000
2/25/2022,24.10899162,24.16887185,23.33453472,23.67385918,528866000
2/28/2022,24.33653831,24.61598254,23.65988625,23.9443197,477319000
3/1/2022,23.43033791,24.32855065,23.08602429,24.24272113,412056000
3/2/2022,24.17597961,24.36463719,23.3724443,23.71282413,389642000
3/3/2022,23.67090225,24.2817895,23.42634668,24.21790473,365095000
3/4/2022,22.89431763,23.63696499,22.44114224,23.3415034,431415000
3/7/2022,21.31319427,22.99114089,21.2912349,22.77553194,450821000
3/8/2022,21.47490311,22.33234132,20.61247291,21.27027572,557467000
3/9/2022,22.97217751,23.17780253,22.20657115,22.34631612,492742000
3/10/2022,22.61682129,22.74658418,21.84223065,22.4900513,428066000
3/11/2022,22.05983543,23.10293631,22.00593272,22.98015875,367209000
3/14/2022,21.29123688,22.22154236,21.12054811,21.82925691,385354000
3/15/2022,22.93124962,22.99613202,21.28325099,21.47889394,491996000
3/16/2022,24.45147896,24.55229522,23.12988591,23.45728889,671422000
3/17/2022,24.72099686,24.79685706,23.86255901,24.07617084,471941000
3/18/2022,26.4049263,26.52071662,24.57925156,24.75393277,730719000
3/21/2022,26.68541527,27.1026568,25.91980895,26.45882851,591727000
3/22/2022,26.47579575,27.18849883,26.02461754,26.67842593,547007000
3/23/2022,25.5874157,26.5636371,25.5285229,26.07852025,502120000
3/24/2022,28.09884071,28.26853184,25.85991704,26.11844712,877379000
3/25/2022,27.64167595,28.30646602,27.22144149,27.83532364,579016000
3/28/2022,28.16772079,28.1986646,27.15656111,27.70556281,425494000
3/29/2022,28.60392761,28.89339965,27.92915542,28.6428563,488984000
3/30/2022,27.63967896,28.44421395,27.45301852,28.25256344,463487000
3/31/2022,27.23641014,28.19666171,27.22044038,27.73150901,523440000
4/1/2022,26.66345406,27.44602963,26.21926309,27.32524924,517235000
4/4/2022,27.31027985,27.50791998,26.56463761,26.6794284,397120000
4/5/2022,25.88387299,27.26935093,25.77307466,27.20446853,436615000
4/6/2022,24.36263847,25.25401504,23.95937344,24.88868105,703833000
4/7/2022,24.16400719,24.67707304,23.43533427,24.39658356,557992000
4/8/2022,23.07698631,23.87952609,23.02009069,23.87353648,524781000
4/11/2022,21.87717247,22.27944002,21.62063952,22.17363365,575207000
4/12/2022,21.46491814,22.68369975,21.24332148,22.4960417,662258000
4/13/2022,22.16264725,22.45910836,21.41600747,21.68851204,516943000
4/14/2022,21.21936607,22.73560652,21.12453941,22.46409957,569097000
4/18/2022,21.74341583,22.04785997,21.0406947,21.16147511,525701000
